2020-07-24 21:32:02: M016_T1: Openface could not extract the details for T1
2020-07-24 21:32:02: M016_T6: Could not copy the file T6 to docker
2020-07-24 21:32:03: M016_T3: Could not copy the file T3 to docker
2020-07-24 21:32:03: F013_T4: Could not copy the file T4 to docker
2020-07-24 21:32:03: F013_T5: Could not copy the file T5 to docker
2020-07-24 21:32:04: F013_T8: Could not copy the file T8 to docker
2020-07-24 21:32:04: F013_T2: Could not copy the file T2 to docker
2020-07-24 21:32:04: F013_T7: Could not copy the file T7 to docker
2020-07-24 21:32:05: F013_T1: Could not copy the file T1 to docker
2020-07-24 21:32:05: F013_T6: Could not copy the file T6 to docker
2020-07-24 21:32:05: F013_T3: Could not copy the file T3 to docker
2020-07-24 21:32:06: M010_T4: Could not copy the file T4 to docker
2020-07-24 21:32:06: M010_T5: Could not copy the file T5 to docker
2020-07-24 21:32:06: M010_T8: Could not copy the file T8 to docker
2020-07-24 21:32:07: M010_T2: Could not copy the file T2 to docker
2020-07-24 21:32:07: M010_T7: Could not copy the file T7 to docker
2020-07-24 21:32:07: M010_T1: Could not copy the file T1 to docker
2020-07-24 21:32:08: M010_T6: Could not copy the file T6 to docker
2020-07-24 21:32:08: M010_T3: Could not copy the file T3 to docker
2020-07-24 21:32:09: F008_T4: Could not copy the file T4 to docker
2020-07-24 21:32:09: F008_T8: Could not copy the file T8 to docker
2020-07-24 21:32:09: F008_T2: Could not copy the file T2 to docker
2020-07-24 21:32:09: F008_T7: Could not copy the file T7 to docker
2020-07-24 21:32:10: F008_T1: Could not copy the file T1 to docker
2020-07-24 21:32:10: F008_T3: Could not copy the file T3 to docker
2020-07-24 21:32:10: F019_T4: Could not copy the file T4 to docker
2020-07-24 21:32:11: F019_T5: Could not copy the file T5 to docker
2020-07-24 21:32:11: F019_T8: Could not copy the file T8 to docker
2020-07-24 21:32:11: F019_T7: Could not copy the file T7 to docker
2020-07-24 21:32:11: F019_T1: Could not copy the file T1 to docker
2020-07-24 21:32:12: F019_T6: Could not copy the file T6 to docker
2020-07-24 21:32:12: F019_T3: Could not copy the file T3 to docker
2020-07-24 21:32:12: M017_T4: Could not copy the file T4 to docker
2020-07-24 21:32:13: M017_T5: Could not copy the file T5 to docker
2020-07-24 21:32:13: M017_T8: Could not copy the file T8 to docker
2020-07-24 21:32:14: M017_T2: Could not copy the file T2 to docker
2020-07-24 21:32:14: M017_T7: Could not copy the file T7 to docker
2020-07-24 21:32:14: M017_T1: Could not copy the file T1 to docker
2020-07-24 21:32:14: M017_T6: Could not copy the file T6 to docker
2020-07-24 21:32:15: M017_T3: Could not copy the file T3 to docker
2020-07-24 21:32:15: F023_T4: Could not copy the file T4 to docker
2020-07-24 21:32:16: F023_T5: Could not copy the file T5 to docker
2020-07-24 21:32:16: F023_T8: Could not copy the file T8 to docker
2020-07-24 21:32:16: F023_T2: Could not copy the file T2 to docker
2020-07-24 21:32:16: F023_T7: Could not copy the file T7 to docker
2020-07-24 21:32:16: F023_T1: Could not copy the file T1 to docker
2020-07-24 21:32:17: F023_T6: Could not copy the file T6 to docker
2020-07-24 21:32:17: F023_T3: Could not copy the file T3 to docker
2020-07-24 21:32:17: F002_T4: Could not copy the file T4 to docker
2020-07-24 21:32:18: F002_T5: Could not copy the file T5 to docker
2020-07-24 21:32:18: F002_T8: Could not copy the file T8 to docker
2020-07-24 21:32:19: F002_T2: Could not copy the file T2 to docker
2020-07-24 21:32:19: F002_T7: Could not copy the file T7 to docker
2020-07-24 21:32:19: F002_T1: Could not copy the file T1 to docker
2020-07-24 21:32:20: F002_T6: Could not copy the file T6 to docker
2020-07-24 21:32:20: F002_T3: Could not copy the file T3 to docker
2020-07-24 21:32:21: M015_T4: Could not copy the file T4 to docker
2020-07-24 21:32:21: M015_T5: Could not copy the file T5 to docker
2020-07-24 21:32:21: M015_T8: Could not copy the file T8 to docker
2020-07-24 21:32:22: M015_T2: Could not copy the file T2 to docker
